University,Location
Simon Fraser University,"Burnaby, Canada"
King Saud University,"Riyadh, Saudi Arabia"
Universit?? Paris 1 Panth??on-Sorbonne,"Paris, France"
Victoria University of Wellington,"Kelburn, ellington,??New Zealand"
American University of Beirut (AUB),"Beirut , Lebanon"
Rheinische Friedrich-Wilhelms-Universit??t Bonn,"Bonn, Germany"
Universit??t Hamburg,"Hamburg, Germany"
The University of Arizona,"Tucson, United States"
University of Turku,"Turku, Finland"
Royal Holloway University of London,"Egham, United Kingdom"
Al-Farabi Kazakh National University,"Almaty, Kazakhstan"
Loughborough University,"Loughborough, United Kingdom"
Tufts University,"Medford, United States"
Complutense University of Madrid,"Madrid, Spain"
University of Leicester,"Leicester, United Kingdom"
National Cheng Kung University (NCKU),"Tainan City, Taiwan"
Universit?? Paris-Saclay,France
National Taiwan University of Science and Technology (Taiwan Tech),"Taipei City, Taiwan"
University of Dundee,"Dundee, United Kingdom"
"The University of Newcastle, Australia (UON)","Callaghan, Australia"
University of Navarra,"Pamplona, Spain"
Macquarie University,"Sydney, Australia"
Technical University of Darmstadt,"Darmstadt, Germany"
Indian Institute of Technology Madras (IITM),"Chennai, India"
National University of Ireland Galway,"Galway, Ireland"
University of Massachusetts Amherst,"Amherst, United States"
Chulalongkorn University,"Bangkok, Thailand"
RMIT University,"Melbourne, Australia"
SOAS University of London,"London, United Kingdom"
University of East Anglia (UEA),"Norwich, United Kingdom"
University of Miami,"Miami, United States"
Beijing Normal University,"Beijing, China (Mainland)"
Saint Petersburg State University,"Saint Petersburg, Russia"
Norwegian University of Science And Technology,"Trondheim, Norway"
Universit?? de Strasbourg,"Strasbourg, France"
University of Surrey,"Guildford, United Kingdom"
Universit?? Diderot  Paris 7,"Paris, France"
Universit??t Stuttgart,"Stuttgart, Germany"
Goethe-University Frankfurt am Main,"Frankfurt, Germany"
University of Gothenburg,"Gothenburg, Sweden"
Kyung Hee University,South Korea
ENS Paris-Saclay,"Cachan, France"
Ecole des Ponts ParisTech,"Paris, France"
Universidad Nacional de Colombia,"Bogot??, Colombia"
Universiti Putra Malaysia (UPM),"Seri Kembangan, Malaysia"
"University of California, Riverside","Riverside, United States"
Universidad de los Andes,"Bogot??, Colombia"
Friedrich-Alexander-Universit??t Erlangen-N??rnberg,"Erlangen, Germany"
University of Strathclyde,"Glasgow, United Kingdom"
Wuhan University,"Wuhan, China (Mainland)"
Queensland University of Technology (QUT),"Brisbane, Australia"
North Carolina State University,"Raleigh, United States"
Harbin Institute of Technology,"Harbin, China (Mainland)"
Hong Kong Baptist University,"Hong Kong, Hong Kong SAR"
Universidad Carlos III de Madrid (UC3M),"Madrid, Spain"
"Birkbeck, University of London","London, United Kingdom"
Link??ping University,"Link??ping, Sweden"
Mahidol University,"Nakhon Pathom, Thailand"
Universitat Pompeu Fabra (Barcelona),"Barcelona, Spain"
University College Cork,"Cork, Ireland"
King Abdulaziz University (KAU),"Jeddah, Saudi Arabia"
Dalhousie University,"Halifax, Canada"
University of South Australia,"Magill, Australia"
Universiti Teknologi Malaysia,"Skudai, Malaysia"
University of St.Gallen (HSG),"St. Gallen, Switzerland"
Indiana University Bloomington,"Bloomington, United States"
University of Ottawa,"Ottawa, Canada"
Novosibirsk State University,"Novosibirsk , Russia"
Westf??lische Wilhelms-Universit??t M??nster,"M??nster, Germany"
Umea University,"Ume??, Sweden"
"University of California, Santa Cruz","Santa Cruz, United States"
Sun Yat-sen University,"Guangzhou, China (Mainland)"
Hiroshima University,"Higashihiroshima City, Japan"
Universit??t Innsbruck,"Innsbruck, Austria"
Boston College,"Newton, United States"
Rutgers University?€?New Brunswick,"New Brunswick, United States"
Charles University,"Prague, Czech Republic"
Universiti Kebangsaan Malaysia (UKM),"Bangi, Malaysia"
Indian Institute of Technology Kanpur (IITK),"Kanpur, India"
Politecnico di Torino,"Turin, Italy"
Curtin University,"Perth, Australia"
Bauman Moscow State Technical University,"Moscow, Russia"
Universidad Austral,"Pilar, Argentina"
National Yang Ming University,"Taipei City, Taiwan"
National Taiwan Normal University,"Taipei City, Taiwan"
Pontificia Universidad Cat??lica Argentina,"Buenos Aires, Argentina"
Rensselaer Polytechnic Institute,"Troy, United States"
Indian Institute of Technology Kharagpur (IIT-KGP),"Kharagpur, India"
"City, University of London","London, United Kingdom"
Nankai University,"Tianjin, China (Mainland)"
Tongji University,"Shanghai, China (Mainland)"
Universit?? de Li??ge,"Arlon, Belgium"
Xi?€?an Jiaotong University,"Xi'an, China (Mainland)"
Tampere University of Technology,"Tampere, Finland"
Ben-Gurion University of The Negev,"Be'er Sheva, Israel"
Universidade Federal do Rio de Janeiro,"Rio de Janeiro, Brazil"
Universitat Polit??cnica de Catalunya ?? BarcelonaTech (UPC),"Barcelona, Spain"
University of Porto,"Porto, Portugal"
University of Waikato,"Hamilton , New Zealand"
Universitas Indonesia,"Depok, Indonesia"
University of Victoria (UVic),"Victoria, Canada"
Universit?? de Montpellier,"Montpellier, France"
Heriot-Watt University,"Edinburgh, United Kingdom"
Tokyo Medical and Dental University (TMDU),"Tokyo, Japan"
University of Lisbon,"Lisbon , Portugal"
Universiti Sains Malaysia (USM),"Gelugor, Malaysia"
Tilburg University,"Tilburg, Netherlands"
"Essex, University of","Colchester, United Kingdom"
Yeshiva University,"New York City, United States"
Ewha Womans University,"Seoul, South Korea"
Griffith University,"Nathan, Australia"
Gwangju Institute of Science and Technology (GIST),"Gwangju, South Korea"
Universit????di Padova,"Padua, Italy"
University of Jyv??skyl??,"Jyv??skyl??, Finland"
Massey University,"Palmerston North, New Zealand"
James Cook University,"Townsville, Australia"
University at Buffalo SUNY,"Buffalo, United States"
Lincoln University,"Lincoln, New Zealand"
University of Hawai??i at M??noa,"Honolulu, United States"
Brunel University London,United Kingdom
L.N. Gumilyov Eurasian National University (ENU),"Nur-Sultan, Kazakhstan"
University of Cologne,"Cologne, Germany"
University of Tartu,"Tartu, Estonia"
University Ulm,"Ulm, Germany"
Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),"Dolgoprudny, Russia"
MGIMO University,"Moscow, Russia"
Universit??t Konstanz,"Konstanz, Germany"
Universidad de Belgrano,"Buenos Aires, Argentina"
Belarusian State University,"Minsk, Belarus"
Deakin University,"Geelong, Australia"
"Universit?? Paris-Dauphine, Universit?? PSL","Paris, France"
Aston University,"Birmingham, United Kingdom"
University of Witwatersrand,"Johannesburg, South Africa"
Oxford Brookes University,United Kingdom
Virginia Polytechnic Institute and State University,"Blacksburg, United States"
Northeastern University,"Boston, United States"
George Washington University,"Ashburn, United States"
Universit??t Jena,"Jena, Germany"
The American University in Cairo,"Cairo, Egypt"
University of Warsaw,"Warsaw, Poland"
Universidade Nova de Lisboa,"Lisbon, Portugal"
University of Kent,"Paris, United Kingdom"
Kobe University,"Kobe City, Japan"
University of Milan,"Milan, Italy"
University of Tasmania,"Hobart, Australia"
Universit?? Laval,"Qu??bec, Canada"
University of Kansas,"Lawrence, United States"
University of the Philippines,"Quezon City, Philippines"
Aalborg University,"Aalborg, Denmark"
"University of Colorado, Denver","Denver, United States"
Universit?? Paris Descartes,"Paris , France"
Tomsk State University,"Tomsk, Russia"
University of Troms?? The Arctic University of Norway,"Troms??, Norway"
Dublin City University,"Dublin, Ireland"
University of Texas Dallas,"Richardson, United States"
University of Eastern Finland,"Kuopio, Finland"
V. N. Karazin Kharkiv National University,"Kharkiv, Ukraine"
American University,"Washington D.C., United States"
University of Stirling,"Stirling, United Kingdom"
Colorado State University,"Fort Collins, United States"
Chung-Ang University (CAU),"Seoul, South Korea"
La Trobe University,"Melbourne, Australia"
Beijing Institute of Technology,"Beijing, China (Mainland)"
"Stony Brook University, State University of New York","Stony Brook, United States"
Swansea University,"Swansea, United Kingdom"
University of Southern Denmark (SDU),"Odense, Denmark"
University of Iowa,"Iowa City, United States"
Qatar University,"Doha, Qatar"
Stellenbosch University,"Stellenbosch, South Africa"
Washington State University,"Pullman, United States"
National Sun Yat-sen University,"Kaohsiung City, Taiwan"
National Technical University of Athens,"Athens, Greece"
Indian Institute of Technology Roorkee (IITR),"Roorkee, India"
Leibniz University Hannover,"Hanover, Germany"
National Research Tomsk Polytechnic University,Russia
Bandung Institute of Technology (ITB),"Bandung, Indonesia"
Brandeis University,"Waltham, United States"
Illinois Institute of Technology,"Chicago, United States"
Johannes Gutenberg Universit??t Mainz,"Mainz, Germany"
Khalifa University of Science and Technology,"Abu Dhabi, United Arab Emirates"
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),"Moscow, Russia"
Taipei Medical University (TMU),"Taipei City, Taiwan"
Universidad Externado de Colombia,"Bogot??, Colombia"
Wake Forest University,"Winston-Salem, United States"
Aix-Marseille University,"Marseille, France"
Bilkent University,"Ankara, Turkey"
Sogang University,"Seoul, South Korea"
Bangor University,United Kingdom
Satbayev University,"Almaty, Kazakhstan"
National Central University,"Taoyuan City, Taiwan"
HSE University,"Moscow, Russia"
Peter the Great St. Petersburg Polytechnic University,"St. Petersburg, Russia"
United Arab Emirates University,"Al Ain, United Arab Emirates"
Universit??t Mannheim,"Mannheim, Germany"
University of Delaware,"Newark, United States"
University of Oulu,"Oulu, Finland"
University of Utah,"Salt Lake City, United States"
Renmin (People's) University of China,"Beijing, China (Mainland)"
Julius-Maximilians-Universit??t W??rzburg,"W??rzburg, Germany"
Iowa State University,"Ames, United States"
Christian-Albrechts-University zu Kiel,"Kiel, Germany"
"Goldsmiths, University of London","London, United Kingdom"
Institut National des Sciences Appliqu??es de Lyon (INSA),"Lyon, France"
University of Connecticut,"Storrs, United States"
University of Pisa,"Pisa, Italy"
Pontificia Universidad Javeriana,"Bogot??, Colombia"
Jagiellonian University,"Krakow, Poland"
Florida State University,"Tallahassee, United States"
Taras Shevchenko National University of Kyiv,"Kyiv, Ukraine"
The University of Georgia,"Athens, United States"
Beihang University (former BUAA),"Beijing, China (Mainland)"
HUFS - Hankuk (Korea) University of Foreign Studies,"Seoul, South Korea"
Sharif University of Technology,"Tehran, Iran, Islamic Republic of"
Singapore Management University,Singapore
Universitat Polit??cnica de Val??ncia,"Val??ncia, Spain"
Universit??t Bremen,"Bremen, Germany"
Huazhong University of Science and Technology,"Wuhan, China (Mainland)"
University of Trento,"Trento, Italy"
American University of Sharjah,"Sharjah, United Arab Emirates"
Auckland University of Technology (AUT),"Auckland, New Zealand"
Chang Gung University,"Taoyuan City, Taiwan"
Dongguk University,"Seoul, South Korea"
Sabanci University,"Istanbul, Turkey"
Swinburne University of Technology,"Melbourne, Australia"
Universidad de Palermo (UP),"Buenos Aires, Argentina"
"University of Maryland, Baltimore County","Baltimore, United States"
University of Florence,"Florence, Italy"
University of Coimbra,"Coimbra, Portugal"
Shanghai University,"Shanghai, China (Mainland)"
Pusan National University,"Busan, South Korea"
York University,"Toronto, Canada"
Ruhr-Universit??t Bochum,"Bochum, Germany"
Xiamen University,"Xiamen, China (Mainland)"
Ko?? University,"Istanbul, Turkey"
Oregon State University,"Corvallis, United States"
Sultan Qaboos University,"Muscat, Oman"
Universidade Federal do Rio Grande Do Sul,"Porto Alegre, Brazil"
Universit?? Paul Sabatier Toulouse III,"Toulouse, France"
Karl-Franzens-Universitaet Graz,"Graz, Austria"
Arabian Gulf University,"Manama, Bahrain"
Bond University,"Gold Coast, Australia"
Concordia University,"Montreal, Canada"
University of New Mexico,"Albuquerque, United States"
University of Oklahoma,"Norman, United States"
"The University of Tennessee, Knoxville","Knoxville, United States"
Wayne State University,"Detroit, United States"
Universidad de Santiago de Chile (USACH),"Santiago, Chile"
Universidad de Costa Rica,"San Jose, Costa Rica"
Middle East Technical University,"Ankara, Turkey"
Bogazi??i ??niversitesi,"Istanbul, Turkey"
Clark University,"Worcester, United States"
Lappeenranta-Lahti University of Technology LUT,"Lappeenranta , Finland"
East China University of Science and Technology,"Shanghai, China (Mainland)"
Technische Universit??t Braunschweig,"Braunschweig, Germany"
Tokyo Metropolitan University,"Tokyo, Japan"
University of Saskatchewan,"Saskatoon, Canada"
Pontificia Universidad Cat??lica del Per??,"Lima, Peru"
"University of Rome ""Tor Vergata""","Rome, Italy"
University of Naples - Federico II,"Naples, Italy"
Hitotsubashi University,"Kunitachi City, Japan"
Dalian University of Technology,"Dalian, China (Mainland)"
Indian Institute of Technology Guwahati (IITG),"Guwahati, India"
Lehigh University,"Bethlehem, United States"
Tianjin University,"Nankai, China (Mainland)"
Universidad de Zaragoza,"Huesca, Spain"
Vilnius University,"Vilnius, Lithuania"
Aristotle University of Thessaloniki,"Thessaloniki, Greece"
Universit????Cattolica del Sacro Cuore,"Milan, Italy"
Aberystwyth University,"Aberystwyth, United Kingdom"
Iran University of Science and Technology,"Tehran, Iran, Islamic Republic of"
Jilin University,"Changchun, China (Mainland)"
The Catholic University of Korea,"Gyeonggi, South Korea"
Saint Joseph University of Beirut (USJ),"Beirut, Lebanon"
University of Nebraska - Lincoln,"Lincoln, United States"
University of South Florida,"Tampa, United States"
Yokohama City University,"Yokohama City, Japan"
Gadjah Mada University,"Yogyakarta, Indonesia"
University of Delhi,"New Delhi, India"
City University of New York,"New York City, United States"
University of Bordeaux,"Talence, France"
Pontif??cia Universidade Cat??lica do Rio de Janeiro,"Rio de Janeiro, Brazil"
University of Granada,"Granada, Spain"
Universit?? du Qu??bec,"Qu??bec, Canada"
Universit??t  Leipzig,"Leipzig, Germany"
Universit?? Claude Bernard Lyon 1,"Villeurbanne, France"
Ateneo de Manila University,"Quezon City, Philippines"
UNESP,"S????o Paulo, Brazil"
Abo Akademi University,"Turku, Finland"
Amirkabir University of Technology,"Tehran, Iran, Islamic Republic of"
Jeonbuk National University,"Jeonju, South Korea"
Czech Technical University in Prague,"Prague, Czech Republic"
Drexel University,"Philadelphia, United States"
Instituto Tecnol??gico de Buenos Aires (ITBA),"Buenos Aires, Argentina"
Abai Kazakh National Pedagogical University,"Almaty, Kazakhstan"
Kazan (Volga region) Federal University,"Kazan, Russia"
King Khalid University,"Abha, Saudi Arabia"
"Kingston University, London","Kingston upon Thames, United Kingdom"
Martin-Luther-Universit??t Halle-Wittenberg,"Halle, Germany"
Michigan Technological University,"Houghton, United States"
Missouri University of Science and Technology,"Rolla, United States"
Murdoch University,"Murdoch, Australia"
Nagasaki University,"Nagasaki City, Japan"
National Chung Hsing University,"Taichung City, Taiwan"
National University of Sciences And Technology (NUST) Islamabad,"Islamabad, Pakistan"
Okayama University,"Okayama City, Japan"
Pontif??cia Universidade Cat??lica de S??o Paulo,"S??o Paulo, Brazil"
Sejong University,"Seoul, South Korea"
Shandong University,"Jinan, China (Mainland)"
Southeast University,"Nanjing, China (Mainland)"
Tulane University,"New Orleans, United States"
Umm Al-Qura University,"Makkah, Saudi Arabia"
Universidad de San Andr??s - UdeSA,"Buenos Aires, Argentina"
Universidade Federal de S??o Paulo,"S??o Paulo, Brazil"
University of Bayreuth,"Bayreuth, Germany"
Universit??t des Saarlandes,"Saarbr??cken, Germany"
Universit??t Regensburg,"Regensburg, Germany"
University of Guelph,"Guelph, Canada"
University of Kentucky,"Lexington, United States"
University of Limerick,"Limerick, Ireland"
University of Macau,Macau SAR
University of Manitoba,"Winnipeg, Canada"
University of Mons,"Mons, Belgium"
University of Szeged,"Szeged, Hungary"
University of Tampere,"Tampere, Finland"
Universidad Nacional de La Plata (UNLP),"La Plata, Argentina"
Chiang Mai University,"Chiang Mai, Thailand"
Universidade Federal de Minas Gerais,"Belo Horizonte, Brazil"
Cairo University,"Giza, Egypt"
Universitat de Valencia,"Val??ncia, Spain"
University of Pretoria,"Pretoria, South Africa"
University of Turin,"Turin, Italy"
Universidade de Santiago de Compostela,"Santiago de Compostela, Spain"
American University in Dubai,"Dubai, United Arab Emirates"
Carleton University,"Ottawa, Canada"
Charles Darwin University,"Casuarina, Australia"
Chiba University,"Chiba City, Japan"
William & Mary,"Williamsburg, United States"
East China Normal University,"Shanghai, China (Mainland)"
Far Eastern Federal University,"Vladivostok, Russia"
Flinders University,"Adelaide, Australia"
Howard University,"Washington D.C., United States"
Inha University,"Incheon, South Korea"
Johannes Kepler University Linz,"Linz, Austria"
Kagoshima University,"Kagoshima City, Japan"
Kanazawa University,"Kanazawa, Japan"
Keele University,"Keele, United Kingdom"
Kumamoto University,"Kumamoto City, Japan"
Lanzhou University,"Lanzhou, China (Mainland)"
National Research Saratov State University,"Saratov, Russia"
National Taipei University of Technology,"Taipei City, Taiwan"
"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""","Kyiv, Ukraine"
Philipps-Universit??t Marburg,"Marburg, Germany"
Universidad Polit??cnica de Madrid (UPM),"Madrid, Spain"
Rhodes University,"Grahamstown, South Africa"
Sichuan University,"Chengdu, China (Mainland)"
South China University of Technology,"Guangzhou, China (Mainland)"
Southern Federal University,"Rostov-on-Don, Russia"
Syracuse University,"Syracuse, United States"
TU Dortmund University,"Dortmund, Germany"
Tokyo University of Agriculture and Technology,"Tokyo, Japan"
Universit?? degli Studi di Pavia,"Pavia, Italy"
University of Bradford,"Bradford, United Kingdom"
University of Canberra,"Bruce, Australia"
University of Cincinnati,"Cincinnati, United States"
University of Hull,"Hull, United Kingdom"
University of Jordan,"Amman, Jordan"
University of Massachusetts Boston,"Boston, United States"
"University of Missouri, Columbia","Columbia, United States"
University of Oregon,"Eugene, United States"
University of Science and Technology Beijing,"Beijing, China (Mainland)"
University of South Carolina,"Columbia, United States"
University of Tehran,"Tehran, Iran, Islamic Republic of"
University of Ulsan,"Ulsan, South Korea"
University of Vermont,"Burlington, United States"
Western Sydney University,"Milperra, Australia"
Universidad de Antioquia,"Medellin, Colombia"
